RouteId,RouteVarId,StopId,Code,Name,Lat,Lng,Zone,Ward,StopType,Street,Status
1,2,20,Q5 098,Nguyễn Biểu,10.756066,106.68437,Quận 5,,Trụ dừng,Trần Hưng Đạo,Đang khai thác
1,2,18,Q1 131,Chợ Nanci,10.75699,106.685883,Quận 1,,Trụ dừng,Trần Hưng Đạo,Đang khai thác
1,2,22,Q1 132,Tổng Cty Samco,10.759734,106.688254,Quận 1,,Nhà chờ,Trần Hưng Đạo,Đang khai thác
1,2,21,Q1 133,Sở PCCC,10.760656,106.689096,Quận 1,,Nhà chờ,Trần Hưng Đạo,Đang khai thác
1,2,23,Q1 134,Hồ Hảo Hớn,10.762395,106.690636,Quận 1,,Trụ dừng,Trần Hưng Đạo,Đang khai thác
1,2,24,Q1 135,Bệnh Viện Răng Hàm Mặt,10.763567,106.691612,Quận 1,Phường Cô Giang,Nhà chờ,Trần Hưng Đạo,Đang khai thác
1,2,25,Q1 136,Rạp Trần Hưng Đạo,10.76483,106.692722,Quận 1,Phường Cô Giang,Nhà chờ,Trần Hưng Đạo,Đang khai thác
1,2,26,Q1 137,KTX Trần Hưng Đạo,10.767064,106.694824,Quận 1,Phường Cầu Ông Lãnh,Nhà chờ,Trần Hưng Đạo,Đang khai thác
1,2,27,Q1 138,Nguyễn Kim,10.768327,106.695847,Quận 1,,Nhà chờ,Trần Hưng Đạo,Đang khai thác
1,2,7266,Q1 180,Trạm Trung chuyển trên đường Hàm Nghi,10.770896,106.700807,Quận 1,Phường Nguyễn Thái Bình,Nhà chờ,Hàm Nghi,Đang khai thác
1,2,7693,Q1 1950,Nam Kỳ Khởi Nghĩa,10.770875,106.701354,Quận 1,Phường Nguyễn Thái Bình,Nhà chờ,Hàm Nghi,Đang khai thác
1,2,1256,Q1 195,Chợ Cũ,10.770811,106.701998,Quận 1,Phường Nguyễn Thái Bình,Nhà chờ,Hàm Nghi,Đang khai thác
1,2,7588,Q1 200,Giao lộ Hàm Nghi - Tôn Thất Đạm,10.77078,106.703038,Quận 1,Phường Nguyễn Thái Bình,Nhà chờ,Hàm Nghi,Đang khai thác
1,2,32,Q1 017,Hồ Tùng Mậu,10.770722,106.704074,Quận 1,Phường Nguyễn Thái Bình,Nhà chờ,Hàm Nghi,Đang khai thác
1,2,31,Q1 024,Bến Bạch Đằng,10.774094,106.706654,Quận 1,,Nhà chờ,Tôn Đức Thắng,Đang khai thác
1,2,34,Q1 057,Công Trường Mê Linh,10.775997,106.705822,Quận 1,,Nhà chờ,Hai Bà Trưng,Đang khai thác
1,2,33,BX 06,Công Trường Mê Linh,10.77679,106.705856,Quận 1,Phường Bến Nghé,Bến xe,Thi Sách,Đang khai thác
10,1,7829,BX92,Bến xe buýt ĐH Quốc gia TPHCM (mới),10.874479,106.807659,TP. Thủ Đức - KV3,,Bến xe,Nguyễn Hiền,Đang khai thác
10,1,7650,QTD 271,Bến xe buýt Khu A ĐHQG,10.87362,106.803042,TP. Thủ Đức - KV3,Phường Linh Trung,Trụ dừng,Quảng Trường Sáng Tạo,Đang khai thác
10,1,7645,QTD 248,Nhà Văn hoá sinh viên,10.874832,106.800016,TP. Thủ Đức - KV3,Phường Linh Trung,Nhà chờ,Quảng Trường Sáng Tạo,Đang khai thác
10,1,7624,QTD 255,Đại học Quốc tế (đối diện cổng QTST),10.876476,106.80257,TP. Thủ Đức - KV3,Phường Linh Trung,Nhà chờ,Quảng Trường Sáng Tạo,Đang khai thác
10,1,7647,QTD 252,KTX Khu A ĐH Quốc Gia TPHCM,10.875638,106.804914,TP. Thủ Đức - KV3,Phường Linh Trung,Nhà chờ,Quảng Trường Sáng Tạo,Đang khai thác
10,1,7651,QTD 272,Vành đai ĐHQG TPHCM,10.874619,106.806271,TP. Thủ Đức - KV3,,Trụ dừng,Đường 621,Đang khai thác
10,1,572,QTD 175,Đại học An Ninh Nhân Dân,10.871402,106.806657,TP. Thủ Đức - KV3,,Ô sơn,Quốc lộ 1,Đang khai thác
10,1,576,QTD 176,Trường giáo dục Quốc phòng,10.869172,106.804727,TP. Thủ Đức - KV3,,Trụ dừng,Quốc lộ 1,Đang khai thác
10,1,574,QTD 177,Khu DL Suối Tiên,10.86605,106.801116,TP. Thủ Đức - KV3,Phường Linh Trung,Nhà chờ,Quốc lộ 1,Đang khai thác
10,1,398,QTD 074,Khu Công nghệ cao Q9,10.860218,106.791138,TP. Thủ Đức - KV3,Phường Linh Trung,Trụ dừng,Xa Lộ Hà Nội,Đang khai thác
10,1,4392,QTD 075,Xa Lộ Hà Nội,10.858716,106.788633,TP. Thủ Đức - KV3,Phường Linh Trung,Nhà chờ,Xa Lộ Hà Nội,Đang khai thác
10,1,401,QTD 076,Công ty Cocacola,10.856483,106.784964,TP. Thủ Đức - KV3,Phường Linh Trung,Nhà chờ,Xa Lộ Hà Nội,Đang khai thác
10,1,1113,QTD 077,Ngã tư Thủ Đức,10.84828,106.77299,TP. Thủ Đức - KV3,Phường Bình Thọ,Nhà chờ,Võ Nguyên Giáp,Đang khai thác
10,1,8094,TPTĐ 224,Ga metro Thủ Đức,10.845622,106.771394,TP. Thủ Đức - KV3,Phường Bình Thọ,Nhà chờ,Xa Lộ Hà Nội,Đang khai thác
10,1,1111,QTD 078,Betong Hải Âu,10.844297,106.77063,TP. Thủ Đức - KV3,Phường Bình Thọ,Trụ dừng,Võ Nguyên Giáp,Đang khai thác
10,1,1112,QTD 079,UBND Quận 9,10.840745,106.768607,TP. Thủ Đức - KV3,Phường Bình Thọ,Nhà chờ,Võ Nguyên Giáp,Đang khai thác
10,1,410,QTD 080,Ngã 4 Bình Thái,10.834945,106.765244,TP. Thủ Đức - KV3,Phường Trường Thọ,Nhà chờ,Võ Nguyên Giáp,Đang khai thác
10,1,413,QTD 081,Công ty truyền tải điện 4,10.831957,106.763635,TP. Thủ Đức - KV3,Phường Trường Thọ,Nhà chờ,Võ Nguyên Giáp,Đang khai thác
10,1,412,QTD 082,Ngã 4 Tây Hòa (RMK),10.825366,106.759998,TP. Thủ Đức - KV3,Phường Trường Thọ,Nhà chờ,Võ Nguyên Giáp,Đang khai thác
10,1,414,QTD 083,Xi măng Hà Tiên,10.820576,106.758142,TP. Thủ Đức - KV3,Phường Trường Thọ,Nhà chờ,Võ Nguyên Giáp,Đang khai thác
10,1,415,Q2 075,Cát Lái,10.802925,106.747948,TP. Thủ Đức - KV1,,Nhà chờ,Võ Nguyên Giáp,Đang khai thác
10,1,416,Q2 076,Metro Quận 2,10.802134,106.7434,TP. Thủ Đức - KV1,,Nhà chờ,Võ Nguyên Giáp,Đang khai thác
10,1,417,Q2 077,Thảo Điền,10.801309,106.738762,TP. Thủ Đức - KV1,Phường Thảo Điền,Nhà chờ,Võ Nguyên Giáp,Đang khai thác
10,1,418,Q2 078,Cầu Đen,10.800451,106.73436,TP. Thủ Đức - KV1,Phường Thảo Điền,Nhà chờ,Võ Nguyên Giáp,Đang khai thác
10,1,419,QBTH 056,Cầu Sài Gòn,10.798893,106.719571,Quận Bình Thạnh,,Trụ dừng,Điện Biên Phủ,Đang khai thác
10,1,420,QBTH 055,Khu Du lịch Văn Thánh,10.800274,106.717227,Quận Bình Thạnh,,Nhà chờ,Điện Biên Phủ,Đang khai thác
